År,Svarsalternativ,Procent,Antal svar
2011,Dåligt förslag,45,1348
2011,Bra förslag,24,708
2011,Varken bra eller dåligt förslag,31,936
2012,Dåligt förslag,52,1505
2012,Varken bra eller dåligt förslag,27,770
2012,Bra förslag,21,613
2013,Dåligt förslag,42,1322
2013,Varken bra eller dåligt förslag,29,914
2013,Bra förslag,29,924
2014,Varken bra eller dåligt förslag,21,352
2014,Dåligt förslag,48,797
2014,Bra förslag,30,495
2015,Varken bra eller dåligt förslag,25,771
2015,Dåligt förslag,47,1449
2015,Bra förslag,28,884
2016,Varken bra eller dåligt förslag,25,770
2016,Dåligt förslag,45,1387
2016,Bra förslag,31,952
2017,Varken bra eller dåligt förslag,27,472
2017,Dåligt förslag,41,715
2017,Bra förslag,32,547
2018,Dåligt förslag,49,837
2018,Varken bra eller dåligt förslag,23,404
2018,Bra förslag,28,483
2019,Dåligt förslag,50,1656
2019,Varken bra eller dåligt förslag,23,760
2019,Bra förslag,27,912
2020,Dåligt förslag,42,2272
2020,Bra förslag,32,1705
2020,Varken bra eller dåligt förslag,26,1387
2021,Bra förslag,29,1331
2021,Dåligt förslag,49,2264
2021,Varken bra eller dåligt förslag,22,1038
2022,Bra förslag,24,1207
2022,Dåligt förslag,52,2589
2022,Varken bra eller dåligt förslag,24,1205
2023,Bra förslag,29,1450
2023,Dåligt förslag,46,2254
2023,Varken bra eller dåligt förslag,25,1246
2024,Bra förslag,33,1694
2024,Dåligt förslag,41,2115
2024,Varken bra eller dåligt förslag,27,1396
2011,Mycket bra förslag,7,215
2012,Mycket bra förslag,7,197
2013,Mycket bra förslag,10,299
2014,Mycket bra förslag,11,180
2015,Mycket bra förslag,8,259
2016,Mycket bra förslag,10,302
2017,Mycket bra förslag,10,178
2018,Mycket bra förslag,8,144
2019,Mycket bra förslag,10,318
2020,Mycket bra förslag,11,587
2021,Mycket bra förslag,11,495
2022,Mycket bra förslag,8,395
2023,Mycket bra förslag,11,566
2024,Mycket bra förslag,13,667
2011,Ganska bra förslag,17,493
2012,Ganska bra förslag,14,416
2013,Ganska bra förslag,20,625
2014,Ganska bra förslag,19,315
2015,Ganska bra förslag,20,625
2016,Ganska bra förslag,21,650
2017,Ganska bra förslag,21,369
2018,Ganska bra förslag,20,339
2019,Ganska bra förslag,18,594
2020,Ganska bra förslag,21,1118
2021,Ganska bra förslag,18,836
2022,Ganska bra förslag,16,812
2023,Ganska bra förslag,18,884
2024,Ganska bra förslag,20,1027
2011,Varken bra eller dåligt förslag,31,936
2012,Varken bra eller dåligt förslag,27,770
2013,Varken bra eller dåligt förslag,29,914
2014,Varken bra eller dåligt förslag,21,352
2015,Varken bra eller dåligt förslag,25,771
2016,Varken bra eller dåligt förslag,25,770
2017,Varken bra eller dåligt förslag,27,472
2018,Varken bra eller dåligt förslag,23,404
2019,Varken bra eller dåligt förslag,23,760
2020,Varken bra eller dåligt förslag,26,1387
2021,Varken bra eller dåligt förslag,22,1038
2022,Varken bra eller dåligt förslag,24,1205
2023,Varken bra eller dåligt förslag,25,1246
2024,Varken bra eller dåligt förslag,27,1396
2011,Ganska dåligt förslag,24,710
2012,Ganska dåligt förslag,25,718
2013,Ganska dåligt förslag,23,727
2014,Ganska dåligt förslag,23,383
2015,Ganska dåligt förslag,24,751
2016,Ganska dåligt förslag,24,752
2017,Ganska dåligt förslag,23,405
2018,Ganska dåligt förslag,24,413
2019,Ganska dåligt förslag,24,783
2020,Ganska dåligt förslag,23,1228
2021,Ganska dåligt förslag,24,1090
2022,Ganska dåligt förslag,26,1321
2023,Ganska dåligt förslag,24,1186
2024,Ganska dåligt förslag,22,1164
2011,Mycket dåligt förslag,21,638
2012,Mycket dåligt förslag,27,787
2013,Mycket dåligt förslag,19,595
2014,Mycket dåligt förslag,25,414
2015,Mycket dåligt förslag,23,698
2016,Mycket dåligt förslag,20,635
2017,Mycket dåligt förslag,18,310
2018,Mycket dåligt förslag,25,424
2019,Mycket dåligt förslag,26,873
2020,Mycket dåligt förslag,20,1044
2021,Mycket dåligt förslag,25,1174
2022,Mycket dåligt förslag,25,1268
2023,Mycket dåligt förslag,22,1068
2024,Mycket dåligt förslag,18,951
